Species 1,Species 2,Dist,Std. Err
PZ049732.1,PX480439.1,0.0872742506,0.0109234988
PX480447.1,PX480439.1,0.0136186770,0.0038005859
PX480446.1,PX480439.1,0.0076923077,0.0028241111
PX480445.1,PX480439.1,0.0186640472,0.0042902442
PX480444.1,PX480439.1,0.0086705202,0.0030056945
PX480443.1,PX480439.1,0.0289505703,0.0054361570
PX480442.1,PX480439.1,0.0126213592,0.0035342523
PX480441.1,PX480439.1,0.0136186770,0.0036541642
PX480440.1,PX480439.1,0.0166340509,0.0041935945
PZ049732.1,PX480438.1,0.0830933434,0.0104133834
PX480447.1,PX480438.1,0.0289505703,0.0055162833
PX480446.1,PX480438.1,0.0247600942,0.0050412926
PX480445.1,PX480438.1,0.0237228476,0.0051258336
PX480444.1,PX480438.1,0.0258014650,0.0052238552
PX480443.1,PX480438.1,0.0096525097,0.0030505582
PX480442.1,PX480438.1,0.0216606295,0.0046399209
PX480441.1,PX480438.1,0.0226897008,0.0047680661
PX480440.1,PX480438.1,0.0237228476,0.0049328803
PX480439.1,PX480438.1,0.0268469847,0.0052894738
PZ049732.1,PX480437.1,0.0859791934,0.0109487311
PX480447.1,PX480437.1,0.0126213592,0.0035672658
PX480446.1,PX480437.1,0.0067178503,0.0025826479
PX480445.1,PX480437.1,0.0176470588,0.0043103251
PX480444.1,PX480437.1,0.0096525097,0.0031377212
PX480443.1,PX480437.1,0.0278966781,0.0053386906
PX480442.1,PX480437.1,0.0116279070,0.0034924984
PX480441.1,PX480437.1,0.0126213592,0.0036014927
PX480440.1,PX480437.1,0.0156250000,0.0040992486
PX480439.1,PX480437.1,0.0067178503,0.0025906665
PX480438.1,PX480437.1,0.0258014650,0.0051899895
PZ049732.1,PX683084.1,0.0884834425,0.0132629150
PX480447.1,PX683084.1,0.0566298343,0.0093210878
PX480446.1,PX683084.1,0.0505464481,0.0088752362
PX480445.1,PX683084.1,0.0460704607,0.0083867693
PX480444.1,PX683084.1,0.0520547945,0.0089019638
PX480443.1,PX683084.1,0.0488012306,0.0088729974
PX480442.1,PX683084.1,0.0475543478,0.0084820699
PX480441.1,PX683084.1,0.0475543478,0.0085167362
PX480440.1,PX683084.1,0.0445945946,0.0081747164
PX480439.1,PX683084.1,0.0520547945,0.0088340708
PX480438.1,PX683084.1,0.0458414774,0.0083527352
PX480437.1,PX683084.1,0.0505464481,0.0089921101
PZ049732.1,PX683079.1,0.0795889221,0.0107902316
PX480447.1,PX683079.1,0.0593220339,0.0085661810
PX480446.1,PX683079.1,0.0546218487,0.0080639248
PX480445.1,PX683079.1,0.0581395349,0.0084633083
PX480444.1,PX683079.1,0.0557894737,0.0080767244
PX480443.1,PX683079.1,0.0579125957,0.0085340048
PX480442.1,PX683079.1,0.0534591195,0.0078606619
PX480441.1,PX683079.1,0.0546218487,0.0079668376
PX480440.1,PX683079.1,0.0534591195,0.0079136412
PX480439.1,PX683079.1,0.0569620253,0.0081908527
PX480438.1,PX683079.1,0.0509505703,0.0076911589
PX480437.1,PX683079.1,0.0557894737,0.0082904175
PX683084.1,PX683079.1,0.0012437811,0.0012094395
PZ049732.1,PX683071.1,0.0797629231,0.0108106619
PX480447.1,PX683071.1,0.0594479830,0.0085871060
PX480446.1,PX683071.1,0.0547368421,0.0080795123
PX480445.1,PX683071.1,0.0582627119,0.0084820731
PX480444.1,PX683071.1,0.0559071730,0.0080944377
PX480443.1,PX683071.1,0.0580348334,0.0085553603
PX480442.1,PX683071.1,0.0535714286,0.0078784305
PX480441.1,PX683071.1,0.0547368421,0.0079849229
PX480440.1,PX683071.1,0.0535714286,0.0079316668
PX480439.1,PX683071.1,0.0570824524,0.0082064888
PX480438.1,PX683071.1,0.0510567651,0.0077086186
PX480437.1,PX683071.1,0.0559071730,0.0083073185
PX683084.1,PX683071.1,0.0012468828,0.0012122352
PX683079.1,PX683071.1,0.0000000000,0.0000000000
PZ049732.1,PX683067.1,0.0901961679,0.0134903354
PX480447.1,PX683067.1,0.0550964187,0.0091907559
PX480446.1,PX683067.1,0.0490463215,0.0087051859
PX480445.1,PX683067.1,0.0445945946,0.0082675720
PX480444.1,PX683067.1,0.0505464481,0.0087419465
PX480443.1,PX683067.1,0.0473173435,0.0087651217
PX480442.1,PX683067.1,0.0460704607,0.0083110751
PX480441.1,PX683067.1,0.0460704607,0.0083620229
PX480440.1,PX683067.1,0.0431266846,0.0080288383
PX480439.1,PX683067.1,0.0505464481,0.0086737956
PX480438.1,PX683067.1,0.0443735674,0.0082492126
PX480437.1,PX683067.1,0.0490463215,0.0088362862
PX683084.1,PX683067.1,0.0012437811,0.0012094395
PX683079.1,PX683067.1,0.0000000000,0.0000000000
PX683071.1,PX683067.1,0.0000000000,0.0000000000
PZ049732.1,PX492106.1,0.0623052217,0.0087701379
PX480447.1,PX492106.1,0.0568495150,0.0085959209
PX480446.1,PX492106.1,0.0545142574,0.0084432081
PX480445.1,PX492106.1,0.0580245417,0.0086606704
PX480444.1,PX492106.1,0.0533539645,0.0084223908
PX480443.1,PX492106.1,0.0554684455,0.0085832349
PX480442.1,PX492106.1,0.0533539645,0.0083183165
PX480441.1,PX492106.1,0.0545142574,0.0083127455
PX480440.1,PX492106.1,0.0556794306,0.0084651441
PX480439.1,PX492106.1,0.0521985212,0.0082955763
PX480438.1,PX492106.1,0.0485788305,0.0078385493
PX480437.1,PX492106.1,0.0556794306,0.0086752931
PX683084.1,PX492106.1,0.0642582542,0.0104351937
PX683079.1,PX492106.1,0.0568495150,0.0084872641
PX683071.1,PX492106.1,0.0569694774,0.0085032180
PX683067.1,PX492106.1,0.0626860468,0.0102728195
PZ049732.1,PX368925.1,0.0706154987,0.0097366982
PX480447.1,PX368925.1,0.0626526980,0.0089105066
PX480446.1,PX368925.1,0.0579125957,0.0083853283
PX480445.1,PX368925.1,0.0614601245,0.0088582237
PX480444.1,PX368925.1,0.0590901052,0.0083997570
PX480443.1,PX368925.1,0.0612304308,0.0088308674
PX480442.1,PX368925.1,0.0590901052,0.0084935772
PX480441.1,PX368925.1,0.0602726042,0.0084734230
PX480440.1,PX368925.1,0.0567400440,0.0083522404
PX480439.1,PX368925.1,0.0602726042,0.0085130734
PX480438.1,PX368925.1,0.0542096522,0.0080516381
PX480437.1,PX368925.1,0.0590901052,0.0085628372
PX683084.1,PX368925.1,0.0385802161,0.0077317862
PX683079.1,PX368925.1,0.0332086349,0.0061324079
PX683071.1,PX368925.1,0.0332756133,0.0061470238
PX683067.1,PX368925.1,0.0371511381,0.0075259918
PX492106.1,PX368925.1,0.0625337787,0.0090262054
PZ049732.1,PX297388.1,0.0600479318,0.0087679987
PX480447.1,PX297388.1,0.0617021277,0.0089925036
PX480446.1,PX297388.1,0.0569620253,0.0086679910
PX480445.1,PX297388.1,0.0605095541,0.0088523781
PX480444.1,PX297388.1,0.0605095541,0.0091087271
PX480443.1,PX297388.1,0.0579125957,0.0087808761
PX480442.1,PX297388.1,0.0557894737,0.0085512543
PX480441.1,PX297388.1,0.0569620253,0.0085771441
PX480440.1,PX297388.1,0.0581395349,0.0086865396
PX480439.1,PX297388.1,0.0569620253,0.0087019211
PX480438.1,PX297388.1,0.0532518256,0.0082378175
PX480437.1,PX297388.1,0.0557894737,0.0086729619
PX683084.1,PX297388.1,0.0597222222,0.0101234191
PX683079.1,PX297388.1,0.0546218487,0.0083813913
PX683071.1,PX297388.1,0.0547368421,0.0083969651
PX683067.1,PX297388.1,0.0581717452,0.0099664606
PX492106.1,PX297388.1,0.0176144421,0.0042725786
PX368925.1,PX297388.1,0.0602726042,0.0090852783
PZ049732.1,PV789651.1,0.0788728009,0.0101536648
PX480447.1,PV789651.1,0.1326451992,0.0150940901
PX480446.1,PV789651.1,0.1282188068,0.0147789161
PX480445.1,PV789651.1,0.1401642210,0.0159424261
PX480444.1,PV789651.1,0.1282188068,0.0149192422
PX480443.1,PV789651.1,0.1426890029,0.0158119432
PX480442.1,PV789651.1,0.1341346986,0.0151721409
PX480441.1,PV789651.1,0.1326451992,0.0148860479
PX480440.1,PV789651.1,0.1401642210,0.0159664009
PX480439.1,PV789651.1,0.1253024733,0.0145717885
PX480438.1,PV789651.1,0.1336444611,0.0150575463
PX480437.1,PV789651.1,0.1267572131,0.0148865664
PX683084.1,PV789651.1,0.1456840858,0.0184730817
PX683079.1,PV789651.1,0.1296873030,0.0148291155
PX683071.1,PV789651.1,0.1299915963,0.0148601121
PX683067.1,PV789651.1,0.1436661750,0.0181581921
PX492106.1,PV789651.1,0.1040944064,0.0125288700
PX368925.1,PV789651.1,0.1191291767,0.0139397728
PX297388.1,PV789651.1,0.1042721745,0.0126869874
PZ049732.1,PV344375.1,0.0745765097,0.0100439460
PX480447.1,PV344375.1,0.0569620253,0.0083821537
PX480446.1,PV344375.1,0.0523012552,0.0076863571
PX480445.1,PV344375.1,0.0557894737,0.0081228821
PX480444.1,PV344375.1,0.0534591195,0.0078741804
PX480443.1,PV344375.1,0.0555724191,0.0082303997
PX480442.1,PV344375.1,0.0534591195,0.0078872096
PX480441.1,PV344375.1,0.0546218487,0.0079082818
PX480440.1,PV344375.1,0.0511482255,0.0075721659
PX480439.1,PV344375.1,0.0546218487,0.0078568809
PX480438.1,PV344375.1,0.0509505703,0.0076004926
PX480437.1,PV344375.1,0.0534591195,0.0078740566
PX683084.1,PV344375.1,0.0274869110,0.0063907955
PX683079.1,PV344375.1,0.0258964143,0.0054157834
PX683071.1,PV344375.1,0.0259481038,0.0054267480
PX683067.1,PV344375.1,0.0261096606,0.0062207406
PX492106.1,PV344375.1,0.0545142574,0.0081572188
PX368925.1,PV344375.1,0.0332086349,0.0060011433
PX297388.1,PV344375.1,0.0546218487,0.0082942717
PV789651.1,PV344375.1,0.1296873030,0.0146066478
PZ049732.1,PV344355.1,0.0693971684,0.0092629676
PX480447.1,PV344355.1,0.1245445647,0.0145438954
PX480446.1,PV344355.1,0.1230932337,0.0145133631
PX480445.1,PV344355.1,0.1348978539,0.0155767312
PX480444.1,PV344355.1,0.1202108702,0.0143631493
PX480443.1,PV344355.1,0.1314063705,0.0149216598
PX480442.1,PV344355.1,0.1289397300,0.0148717032
PX480441.1,PV344355.1,0.1274677643,0.0146517066
PX480440.1,PV344355.1,0.1348978539,0.0157051652
PX480439.1,PV344355.1,0.1202108702,0.0142095634
PX480438.1,PV344355.1,0.1255322633,0.0144301897
PX480437.1,PV344355.1,0.1187797432,0.0141785894
PX683084.1,PV344355.1,0.1347507911,0.0177078384
PX683079.1,PV344355.1,0.1245445647,0.0146586743
PX683071.1,PV344355.1,0.1248355899,0.0146838149
PX683067.1,PV344355.1,0.1327891478,0.0174288789
PX492106.1,PV344355.1,0.0992449082,0.0118291980
PX368925.1,PV344355.1,0.1197674419,0.0139214698
PX297388.1,PV344355.1,0.0994208494,0.0120813944
PV789651.1,PV344355.1,0.0216256158,0.0048585617
PV344375.1,PV344355.1,0.1274677643,0.0145659008
PZ049732.1,PV344354.1,0.0681840557,0.0090685185
PX480447.1,PV344354.1,0.1260027254,0.0146916984
PX480446.1,PV344354.1,0.1216486847,0.0144057896
PX480445.1,PV344354.1,0.1333976834,0.0154409326
PX480444.1,PV344354.1,0.1216486847,0.0145169486
PX480443.1,PV344354.1,0.1299274287,0.0148128943
PX480442.1,PV344354.1,0.1274677643,0.0147347629
PX480441.1,PV344354.1,0.1260027254,0.0145223400
PX480440.1,PV344354.1,0.1333976834,0.0155984409
PX480439.1,PV344354.1,0.1187797432,0.0140831714
PX480438.1,PV344354.1,0.1240809324,0.0143134039
PX480437.1,PV344354.1,0.1202108702,0.0143794454
PX683084.1,PV344354.1,0.1327891478,0.0175341895
PX683079.1,PV344354.1,0.1230932337,0.0145453793
PX683071.1,PV344354.1,0.1233801909,0.0145703238
PX683067.1,PV344354.1,0.1308396887,0.0172633468
PX492106.1,PV344354.1,0.0979117415,0.0117693473
PX368925.1,PV344354.1,0.1183429558,0.0138083914
PX297388.1,PV344354.1,0.0980846818,0.0119978807
PV789651.1,PV344354.1,0.0206026127,0.0046928950
PV344375.1,PV344354.1,0.1260027254,0.0144564529
PV344355.1,PV344354.1,0.0047801147,0.0021681223
PZ049732.1,PP128486.1,0.0728116711,0.0100356950
PX480447.1,PP128486.1,0.0721027814,0.0098847224
PX480446.1,PP128486.1,0.0696503324,0.0096424373
PX480445.1,PP128486.1,0.0733369684,0.0099828455
PX480444.1,PP128486.1,0.0733369684,0.0100868864
PX480443.1,PP128486.1,0.0706154987,0.0096910815
PX480442.1,PP128486.1,0.0684320021,0.0096678349
PX480441.1,PP128486.1,0.0696503324,0.0097409289
PX480440.1,PP128486.1,0.0708739142,0.0098472524
PX480439.1,PP128486.1,0.0721027814,0.0099655365
PX480438.1,PP128486.1,0.0633831174,0.0091500467
PX480437.1,PP128486.1,0.0708739142,0.0099040181
PX683084.1,PP128486.1,0.0798701625,0.0119566484
PX683079.1,PP128486.1,0.0721027814,0.0097309452
PX683071.1,PP128486.1,0.0710265167,0.0096436158
PX683067.1,PP128486.1,0.0815292542,0.0121291641
PX492106.1,PP128486.1,0.0341121117,0.0063207312
PX368925.1,PP128486.1,0.0730679477,0.0100214835
PX297388.1,PP128486.1,0.0374053544,0.0067020806
PV789651.1,PP128486.1,0.1191291767,0.0137582042
PV344375.1,PP128486.1,0.0672188895,0.0090826397
PV344355.1,PP128486.1,0.1165091076,0.0135215883
PV344354.1,PP128486.1,0.1151042694,0.0134479551
PZ049732.1,PV138436.1,0.0722393822,0.0095277891
PX480447.1,PV138436.1,0.1151781604,0.0134240292
PX480446.1,PV138436.1,0.1165993433,0.0133745768
PX480445.1,PV138436.1,0.1296934447,0.0147743395
PX480444.1,PV138436.1,0.1137635494,0.0134441659
PX480443.1,PV138436.1,0.1204379439,0.0136675045
PX480442.1,PV138436.1,0.1180271440,0.0135438375
PX480441.1,PV138436.1,0.1194616089,0.0134895811
PX480440.1,PV138436.1,0.1267355485,0.0146116941
PX480439.1,PV138436.1,0.1081699217,0.0127354900
PX480438.1,PV138436.1,0.1204379439,0.0136466312
PX480437.1,PV138436.1,0.1151781604,0.0132362524
PX683084.1,PV138436.1,0.1240960194,0.0162896250
PX683079.1,PV138436.1,0.1180271440,0.0134990733
PX683071.1,PV138436.1,0.1183012073,0.0135250624
PX683067.1,PV138436.1,0.1260155103,0.0165300880
PX492106.1,PV138436.1,0.0944501807,0.0118570776
PX368925.1,PV138436.1,0.1233270538,0.0140500798
PX297388.1,PV138436.1,0.0972846844,0.0120977467
PV789651.1,PV138436.1,0.1030990214,0.0120533872
PV344375.1,PV138436.1,0.1123554649,0.0129263092
PV344355.1,PV138436.1,0.0956006577,0.0114307744
PV344354.1,PV138436.1,0.0969278527,0.0115040095
PP128486.1,PV138436.1,0.1115189193,0.0129862401
PZ049732.1,PQ667806.1,0.0744377280,0.0100202560
PX480447.1,PQ667806.1,0.0663907820,0.0095472994
PX480446.1,PQ667806.1,0.0639749169,0.0093269261
PX480445.1,PQ667806.1,0.0651802657,0.0093459472
PX480444.1,PQ667806.1,0.0627747028,0.0092803004
PX480443.1,PQ667806.1,0.0649291050,0.0096174855
PX480442.1,PQ667806.1,0.0627747028,0.0092332694
PX480441.1,PQ667806.1,0.0639749169,0.0092081836
PX480440.1,PQ667806.1,0.0627747028,0.0091566861
PX480439.1,PQ667806.1,0.0592045420,0.0088534163
PX480438.1,PQ667806.1,0.0578037031,0.0088571582
PX480437.1,PQ667806.1,0.0627747028,0.0092668353
PX683084.1,PQ667806.1,0.0722530962,0.0112678028
PX683079.1,PQ667806.1,0.0639749169,0.0091594406
PX683071.1,PQ667806.1,0.0641116488,0.0091763335
PX683067.1,PQ667806.1,0.0706360348,0.0111304845
PX492106.1,PQ667806.1,0.0096525097,0.0030705202
PX368925.1,PQ667806.1,0.0697816392,0.0097734246
PX297388.1,PQ667806.1,0.0279469108,0.0056300297
PV789651.1,PQ667806.1,0.1095490645,0.0129462911
PV344375.1,PQ667806.1,0.0615795905,0.0087955927
PV344355.1,PQ667806.1,0.1046381047,0.0122598140
PV344354.1,PQ667806.1,0.1032806438,0.0122033393
PP128486.1,PQ667806.1,0.0450416504,0.0074859885
PV138436.1,PQ667806.1,0.1052128964,0.0128552728
PZ049732.1,PQ555702.1,0.0744377280,0.0101084393
PX480447.1,PQ555702.1,0.0545142574,0.0081368870
PX480446.1,PQ555702.1,0.0521985212,0.0077536235
PX480445.1,PQ555702.1,0.0533539645,0.0080513285
PX480444.1,PQ555702.1,0.0510478974,0.0076833862
PX480443.1,PQ555702.1,0.0554684455,0.0082162388
PX480442.1,PQ555702.1,0.0510478974,0.0077791082
PX480441.1,PQ555702.1,0.0521985212,0.0078190186
PX480440.1,PQ555702.1,0.0487609877,0.0076359459
PX480439.1,PQ555702.1,0.0521985212,0.0077760355
PX480438.1,PQ555702.1,0.0508562509,0.0076145036
PX480437.1,PQ555702.1,0.0533539645,0.0079455573
PX683084.1,PQ555702.1,0.0445945946,0.0082319048
PX683079.1,PQ555702.1,0.0343469819,0.0061666940
PX683071.1,PQ555702.1,0.0344165212,0.0061812122
PX683067.1,PQ555702.1,0.0431266846,0.0081248529
PX492106.1,PQ555702.1,0.0452804672,0.0075575357
PX368925.1,PQ555702.1,0.0353011700,0.0063434219
PX297388.1,PQ555702.1,0.0499020628,0.0081044049
PV789651.1,PQ555702.1,0.1207628269,0.0140514275
PV344375.1,PQ555702.1,0.0343469819,0.0060835421
PV344355.1,PQ555702.1,0.1185595671,0.0138339207
PV344354.1,PQ555702.1,0.1171383842,0.0138037443
PP128486.1,PQ555702.1,0.0695221734,0.0096697007
PV138436.1,PQ555702.1,0.1135459229,0.0131958978
PQ667806.1,PQ555702.1,0.0520987958,0.0081456025
PZ049732.1,PP586203.1,0.0688196826,0.0090467105
PX480447.1,PP586203.1,0.1263017352,0.0144215438
PX480446.1,PP586203.1,0.1219781604,0.0141773055
PX480445.1,PP586203.1,0.1321620125,0.0150704672
PX480444.1,PP586203.1,0.1219781604,0.0142748939
PX480443.1,PP586203.1,0.1331690964,0.0149189724
PX480442.1,PP586203.1,0.1277564750,0.0144952154
PX480441.1,PP586203.1,0.1263017352,0.0143233587
PX480440.1,PP586203.1,0.1336444611,0.0153468834
PX480439.1,PP586203.1,0.1191291767,0.0138094685
PX480438.1,PP586203.1,0.1244197092,0.0141845604
PX480437.1,PP586203.1,0.1205503596,0.0141436182
PX683084.1,PP586203.1,0.1292886492,0.0169399794
PX683079.1,PP586203.1,0.1205503596,0.0141259451
PX683071.1,PP586203.1,0.1208282933,0.0141482755
PX683067.1,PP586203.1,0.1273809524,0.0167001216
PX492106.1,PP586203.1,0.0957857739,0.0116140637
PX368925.1,PP586203.1,0.1159119621,0.0134746167
PX297388.1,PP586203.1,0.0959387041,0.0116453584
PV789651.1,PP586203.1,0.0297425682,0.0055954363
PV344375.1,PP586203.1,0.1205503596,0.0136017926
PV344355.1,PP586203.1,0.0205451113,0.0046479878
PV344354.1,PP586203.1,0.0195301161,0.0044268631
PP128486.1,PP586203.1,0.1100146174,0.0127778217
PV138436.1,PP586203.1,0.0974133654,0.0113488537
PQ667806.1,PP586203.1,0.0984165268,0.0118356169
PQ555702.1,PP586203.1,0.1147090517,0.0134695679
PZ049732.1,PQ357326.1,0.0910188199,0.0111729938
PX480447.1,PQ357326.1,0.0556794306,0.0080212354
PX480446.1,PQ357326.1,0.0464929976,0.0072541716
PX480445.1,PQ357326.1,0.0545142574,0.0078001806
PX480444.1,PQ357326.1,0.0499020628,0.0075047306
PX480443.1,PQ357326.1,0.0545142574,0.0078189191
PX480442.1,PQ357326.1,0.0499020628,0.0075631272
PX480441.1,PQ357326.1,0.0510478974,0.0075776625
PX480440.1,PQ357326.1,0.0521985212,0.0077413892
PX480439.1,PQ357326.1,0.0487609877,0.0074652209
PX480438.1,PQ357326.1,0.0499020628,0.0073791136
PX480437.1,PQ357326.1,0.0499020628,0.0076248443
PX683084.1,PQ357326.1,0.0474332881,0.0087966716
PX683079.1,PQ357326.1,0.0556794306,0.0083383786
PX683071.1,PQ357326.1,0.0557966761,0.0083529284
PX683067.1,PQ357326.1,0.0489212103,0.0089275250
PX492106.1,PQ357326.1,0.0650531344,0.0090080202
PX368925.1,PQ357326.1,0.0589787298,0.0084758912
PX297388.1,PQ357326.1,0.0651802657,0.0089458091
PV789651.1,PQ357326.1,0.1507117775,0.0162600239
PV344375.1,PQ357326.1,0.0510478974,0.0078537560
PV344355.1,PQ357326.1,0.1453191489,0.0159088196
PV344354.1,PQ357326.1,0.1406982103,0.0155844942
PP128486.1,PQ357326.1,0.0756799596,0.0098263900
PV138436.1,PQ357326.1,0.1264876633,0.0139604658
PQ667806.1,PQ357326.1,0.0748636138,0.0098564074
PQ555702.1,PQ357326.1,0.0486684127,0.0076696745
PP586203.1,PQ357326.1,0.1409060252,0.0154824996
PZ049732.1,ON799403.1,0.0721243657,0.0094123247
PX480447.1,ON799403.1,0.1070309058,0.0126451670
PX480446.1,ON799403.1,0.1029103220,0.0122667364
PX480445.1,ON799403.1,0.1183012073,0.0138407272
PX480444.1,ON799403.1,0.1029103220,0.0124918625
PX480443.1,ON799403.1,0.1093952941,0.0128624081
PX480442.1,ON799403.1,0.1070309058,0.0126148435
PX480441.1,ON799403.1,0.1084170494,0.0125670327
PX480440.1,ON799403.1,0.1154443625,0.0136304833
PX480439.1,ON799403.1,0.0975029269,0.0118272158
PX480438.1,ON799403.1,0.1093952941,0.0128043532
PX480437.1,ON799403.1,0.1042775853,0.0123322200
PX683084.1,ON799403.1,0.1262096696,0.0166620394
PX683079.1,ON799403.1,0.1098095733,0.0129110279
PX683071.1,ON799403.1,0.1100616037,0.0129325872
PX683067.1,ON799403.1,0.1281446541,0.0169068127
PX492106.1,ON799403.1,0.0868181663,0.0110322393
PX368925.1,ON799403.1,0.1164226073,0.0132889488
PX297388.1,ON799403.1,0.0921922003,0.0114269174
PV789651.1,ON799403.1,0.1043282810,0.0119380730
PV344375.1,ON799403.1,0.1042775853,0.0122685599
PV344355.1,ON799403.1,0.0994669996,0.0116228749
PV344354.1,ON799403.1,0.1008096834,0.0116759059
PP128486.1,ON799403.1,0.1035133393,0.0122581374
PV138436.1,ON799403.1,0.0126028664,0.0035854943
PQ667806.1,ON799403.1,0.0973220330,0.0119927733
PQ555702.1,ON799403.1,0.1054517381,0.0125317374
PP586203.1,ON799403.1,0.1012962571,0.0115099991
PQ357326.1,ON799403.1,0.1152224741,0.0130069941
PZ049732.1,ON799402.1,0.0711030648,0.0096575711
PX480447.1,ON799402.1,0.1087506591,0.0130102604
PX480446.1,ON799402.1,0.1073594563,0.0128217415
PX480445.1,ON799402.1,0.1201151386,0.0141367402
PX480444.1,ON799402.1,0.1045961301,0.0128525226
PX480443.1,ON799402.1,0.1111237166,0.0131734635
PX480442.1,ON799402.1,0.1087506591,0.0129363622
PX480441.1,ON799402.1,0.1101482804,0.0129124679
PX480440.1,ON799402.1,0.1172342364,0.0139949315
PX480439.1,ON799402.1,0.0991445850,0.0121607088
PX480438.1,ON799402.1,0.1111237166,0.0131114020
PX480437.1,ON799402.1,0.1059746279,0.0126762412
PX683084.1,ON799402.1,0.1246114196,0.0164394643
PX683079.1,ON799402.1,0.1115523646,0.0131266660
PX683071.1,ON799402.1,0.1118097556,0.0131522784
PX683067.1,ON799402.1,0.1265404180,0.0166698778
PX492106.1,ON799402.1,0.0883686237,0.0115044545
PX368925.1,ON799402.1,0.1153555385,0.0134622045
PX297388.1,ON799402.1,0.0937909353,0.0118640449
PV789651.1,ON799402.1,0.1059874283,0.0122604710
PV344375.1,ON799402.1,0.1032239196,0.0122532766
PV344355.1,ON799402.1,0.0984141155,0.0117119651
PV344354.1,ON799402.1,0.0997555253,0.0117529773
PP128486.1,ON799402.1,0.1051823463,0.0126011969
PV138436.1,ON799402.1,0.0077011709,0.0027048463
PQ667806.1,ON799402.1,0.0989568590,0.0125342440
PQ555702.1,ON799402.1,0.1043960209,0.0126789400
PP586203.1,ON799402.1,0.1002367837,0.0116092446
PQ357326.1,ON799402.1,0.1141574868,0.0132972917
ON799403.1,ON799402.1,0.0077220077,0.0026178036
PZ049732.1,ON123668.1,0.0733369684,0.0096742715
PX480447.1,ON123668.1,0.1111684941,0.0132677370
PX480446.1,ON123668.1,0.1097701149,0.0130790707
PX480445.1,ON123668.1,0.1225918731,0.0144408973
PX480444.1,ON123668.1,0.1069925564,0.0131100841
PX480443.1,ON123668.1,0.1135459229,0.0134085349
PX480442.1,ON123668.1,0.1111684941,0.0131570618
PX480441.1,ON123668.1,0.1125733323,0.0131550171
PX480440.1,ON123668.1,0.1196959931,0.0142047987
PX480439.1,ON123668.1,0.1015130190,0.0123687922
PX480438.1,ON123668.1,0.1135459229,0.0133897279
PX480437.1,ON123668.1,0.1083781504,0.0129391846
PX683084.1,ON123668.1,0.1260155103,0.0166512248
PX683079.1,ON123668.1,0.1139846743,0.0135464500
PX683071.1,ON123668.1,0.1142479882,0.0135710103
PX683067.1,ON123668.1,0.1279469051,0.0168835924
PX492106.1,ON123668.1,0.0906781687,0.0115986096
PX368925.1,ON123668.1,0.1221131328,0.0140192116
PX297388.1,ON123668.1,0.0961319902,0.0119421606
PV789651.1,ON123668.1,0.1069932735,0.0123259240
PV344375.1,ON123668.1,0.1083781504,0.0128819566
PV344355.1,ON123668.1,0.1021113227,0.0119440621
PV344354.1,ON123668.1,0.1034657106,0.0120035403
PP128486.1,ON123668.1,0.1075659809,0.0128414671
PV138436.1,ON123668.1,0.0145931759,0.0038893262
PQ667806.1,ON123668.1,0.1013204200,0.0125309323
PQ555702.1,ON123668.1,0.1095586955,0.0132004929
PP586203.1,ON123668.1,0.1012357008,0.0115330966
PQ357326.1,ON123668.1,0.1194616089,0.0137190932
